work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,id
2024,Mid-level,Full-time,Machine Learning Engineer,280000,US,0,US,Medium (51–500 employees),97494
2024,Senior-level,Full-time,Machine Learning Scientist,220000,US,0,US,Medium (51–500 employees),97496
2024,Senior-level,Full-time,Machine Learning Scientist,137500,US,0,US,Medium (51–500 employees),97497
2024,Mid-level,Full-time,Machine Learning Developer,100050,US,0,US,Medium (51–500 employees),97498
2024,Mid-level,Full-time,Machine Learning Developer,68850,US,0,US,Medium (51–500 employees),97499
2024,Senior-level,Full-time,Machine Learning Engineer,234700,US,0,US,Medium (51–500 employees),97503
2024,Senior-level,Full-time,Consultant,137000,US,0,US,Medium (51–500 employees),97505
2024,Senior-level,Full-time,Data Visualization Engineer,115384,CA,0,CA,Medium (51–500 employees),97506
2024,Senior-level,Full-time,Data Visualization Engineer,57692,CA,0,CA,Medium (51–500 employees),97507
2024,Junior,Full-time,Data Analyst,102795,US,0,US,Medium (51–500 employees),97508
2024,Junior,Full-time,Data Analyst,181500,US,0,US,Medium (51–500 employees),97510
2024,Mid-level,Full-time,Associate,193300,US,0,US,Medium (51–500 employees),97512
2024,Mid-level,Full-time,Associate,122800,US,0,US,Medium (51–500 employees),97513
2024,Senior-level,Full-time,Data Analyst,151000,US,0,US,Medium (51–500 employees),97514
2024,Mid-level,Full-time,Data Analyst,112017,US,0,US,Medium (51–500 employees),97516
2024,Mid-level,Full-time,Data Analyst,84014,US,0,US,Medium (51–500 employees),97517
2024,Junior,Part-time,Data Analyst,132200,US,0,US,Medium (51–500 employees),97518
2024,Junior,Part-time,Data Analyst,76400,US,0,US,Medium (51–500 employees),97519
2024,Mid-level,Full-time,Data Engineer,187100,US,0,US,Medium (51–500 employees),97520
2024,Mid-level,Full-time,Data Engineer,124700,US,0,US,Medium (51–500 employees),97521
2024,Senior-level,Full-time,Data Engineer,195800,US,0,US,Medium (51–500 employees),97524
2024,Senior-level,Full-time,Data Engineer,97497,US,0,US,Medium (51–500 employees),97525
2024,Mid-level,Full-time,Data Engineer,84400,US,100,US,Medium (51–500 employees),97528
2024,Mid-level,Full-time,Data Analyst,65894,US,0,US,Medium (51–500 employees),84368
2024,Mid-level,Full-time,Data Analyst,54911,US,0,US,Medium (51–500 employees),84369
2024,Junior,Full-time,Data Analyst,80351,CA,0,CA,Medium (51–500 employees),84370
2024,Junior,Full-time,Data Analyst,62832,CA,0,CA,Medium (51–500 employees),84371
2024,Mid-level,Full-time,Data Analytics Specialist,81806,US,0,US,Medium (51–500 employees),84374
2024,Mid-level,Full-time,Data Analytics Specialist,58219,US,0,US,Medium (51–500 employees),84375
2024,Senior-level,Full-time,Data Architect,112000,US,0,US,Medium (51–500 employees),84379
2024,Mid-level,Full-time,Research Scientist,194000,US,0,US,Medium (51–500 employees),97559
2024,Junior,Full-time,Research Scientist,410000,US,0,US,Medium (51–500 employees),97560
2024,Junior,Full-time,Research Scientist,194000,US,0,US,Medium (51–500 employees),97561
2024,Mid-level,Full-time,Engineer,182000,US,0,US,Medium (51–500 employees),97562
2024,Mid-level,Full-time,Manager,294600,US,0,US,Medium (51–500 employees),97564
2024,Mid-level,Full-time,Manager,141400,US,0,US,Medium (51–500 employees),97565
